feature,mutual_info,anova_f,p_value,rf_importance,mi_rank,anova_rank,rf_rank,avg_rank
Gyro_Y_dom_freq,0.0,0.8983630615158729,0.4825472466997145,0.0069850493156615725,54.0,39.0,65.0,52.666666666666664
Acc_Mag_dom_freq,0.0,0.8281220123466553,0.5305215711598276,0.007788956975197585,54.0,42.0,63.0,53.0
Acc_X_zcr,0.0,0.7119880120220761,0.6148651394009677,0.00834667711736919,54.0,48.0,58.0,53.333333333333336
Heart_Rate_zcr,0.010096254211747535,0.2391835758400148,0.9449066172001983,0.0068872166851665206,28.0,66.0,66.0,53.333333333333336
Acc_Mag_rms,0.0,0.47667169686602473,0.7935698398283216,0.013853627736806425,54.0,59.0,48.0,53.666666666666664
Gyro_Z_zcr,0.0,0.7072429077108191,0.6184176742088109,0.008027322455978356,54.0,49.0,60.0,54.333333333333336
Gyro_X_dom_freq,0.01035879923578742,0.21608195266832633,0.9555064316486009,0.005575885478444582,27.0,67.0,69.0,54.333333333333336
Gyro_Mag_mean,0.0,0.4233967710003393,0.8322694612582876,0.012608689833548337,54.0,62.0,51.0,55.666666666666664
Gyro_Y_zcr,0.0,0.424994371370231,0.8311349547156703,0.00884089244632957,54.0,61.0,55.0,56.666666666666664
Gyro_X_zcr,0.0,0.5322301590973477,0.751815480660779,0.008329345522913454,54.0,58.0,59.0,57.0
Acc_X_dom_freq,0.0,0.4559139889403916,0.8088440353615332,0.006727002042768984,54.0,60.0,67.0,60.333333333333336
