Gyro_Mag_mean,Acc_YZ_corr,Gyro_Y_rms,Acc_XY_corr,Acc_Y_std,Acc_Y_spec_energy,Acc_Mag_mean,Acc_Mag_rms,Gyro_X_std,Gyro_Z_rms,Acc_Mag_std,Acc_Mag_spec_energy,Gyro_Z_std,Acc_Y_rms,Gyro_Mag_rms,Event_Label
185.80974155732034,-0.6399745068531911,132.50238810838889,-0.008650503592659583,1.8732079332185645,8.772269902682414,3.1721533823860257,3.271430349268579,88.95773409190294,109.17040706147478,0.7998121333991102,1.5992486218310902,109.17026331305098,2.0037508393931307,193.9539778397599,accel
147.85179406220203,-0.45879380802413955,119.7587087147919,0.5330633549675545,0.6987808515222859,1.2207366961355275,3.412072648906509,3.5063334039682905,60.94961304413655,77.48662437950128,0.8075482514178207,1.6303354459199497,73.26325345835077,2.225102428932175,157.04660434046093,accel
169.57769466673756,0.10534778771670102,104.2957517064731,-0.420537177234154,1.9442162950693833,9.449942505033297,2.4008249289789214,2.6679380806622492,80.72857646789606,115.80040508272766,1.163586379535754,3.3848331566028094,115.20107122574355,1.9798563799537168,175.56816137906577,start_run
135.52108128260656,-0.10933616953664653,80.623085654551,-0.02889798117201056,1.7529955057346145,7.682483107814393,2.9201596349662133,3.1214459345700916,55.57718025930381,94.11794216157823,1.102765808663899,3.040231071895358,92.67179481340995,1.7534162117373655,140.89863832797664,stop
156.7058349217032,-0.07582066583844,125.85179286553499,-0.8999726171074921,1.6425436148818138,6.74487381697254,2.9499486929881393,2.9803287990820517,40.45485309701999,96.73130815822621,0.42445548574077097,0.4504061484385845,70.32229796381509,1.6914399828820728,164.1310064742454,landing
205.45332245131544,-0.4620082911231078,126.50246117912948,-0.5965307536223562,2.027391187451317,10.275787567388154,3.3260025731503107,3.3634720919695846,87.76194217917508,117.41801047067243,0.5006509730898039,0.6266284921394188,85.46088596534447,2.184666929197856,210.68720424685657,landing
173.96084133426487,-0.30822356318334504,63.96674942003673,-0.21569662809063553,1.5356093281771674,5.895240021961827,3.0852953283838853,3.0986292769410677,92.5617428967887,94.43914295171905,0.2871517587773004,0.20614033142224225,88.1184762668916,1.5469489544271986,176.27039067164498,stop
181.2266124951707,0.011938963175279541,56.52745245270476,0.348807782194698,1.8691746764429198,8.734534927638736,2.970231758791209,2.974905634416019,43.70962185982584,117.50306469211199,0.16669382936466445,0.06946708187063966,113.11274229281672,1.9022270575966918,182.0731045449679,stop
199.3517519290312,0.3148096748976768,98.83310495442703,0.6681648000795729,2.1397475846012823,11.446299314517555,3.0620183329696617,3.068844462182348,122.78153891909577,122.61970998386361,0.20457287607342933,0.10462515406238668,118.51281067130837,2.296440816049554,206.52993672842226,start_run
183.6653378280189,0.07842202763481103,107.33169188526746,-0.640240817860376,1.4864727238546056,5.524002896909327,2.8321928940104293,2.891502579920234,55.363506957719856,91.39294042217333,0.5826410394077983,0.8486764520054988,76.47362246795574,1.5815218855078212,188.80508237128893,jump_takeoff
201.0061087877622,-0.027857057625940825,87.27939750583305,0.10359044647785007,1.5002763935153451,5.627073142348527,2.888882769243202,2.936866435788943,121.22770835451198,100.05056707338248,0.5287161877920696,0.6988520180834477,99.27428664926154,1.522822452707447,202.4398568456077,jump_takeoff
171.04024475855172,0.8606061147009239,74.45404325565387,0.4654318452989147,1.3686521056965457,4.683021466068972,2.7380526987276435,2.769138970009367,107.45078484269511,108.50196487283024,0.41376086597792916,0.4279951355370145,86.48357172936903,1.3862442248249918,172.6897560471988,start_run
146.5301440935727,-0.3607630346845285,96.58985051150627,0.14971778188048296,1.271368497707341,4.040944642406552,2.528232616882764,2.591273390321244,92.31787479849467,69.26273602457293,0.5681000073200883,0.8068440457927111,54.14427845386597,1.3882264557711195,156.91827077098054,stop
146.73113376984764,-0.7875496531211443,78.47845102587783,0.7697584258215565,0.32389425016680207,0.2622687132277874,2.7053352418686556,2.814316799385872,77.3873753006575,90.70267919595953,0.7755902761181307,1.5038506910224954,75.15445804075658,1.1754753500194834,154.26597877508846,sprint_mid
164.34631674393222,-0.4947410041714853,76.1304610912558,0.2388331751482132,1.7214193457726576,7.408211410000909,3.1282646360042543,3.2995415363113785,58.871598510183716,106.37558031483076,1.0492543623779802,2.7523367924230535,106.3655090730601,1.7248669931405254,170.54617081056173,sprint_mid
194.2081026557904,-0.12567601411543639,100.88758975679816,-0.1985666723839771,1.503520716179696,5.651436359953764,2.9083064754583505,3.077623469149309,105.61629809686464,127.15714579419,1.0067371368265177,2.5337991566641365,123.98774394749017,1.5552853184991304,199.59301631573754,accel
199.1254566257575,0.44216101285449666,86.68034578393421,0.28684051926402276,1.2494795643697423,3.9029979544440017,2.293042032677962,2.4296414213948,112.6146300732452,136.2780487135103,0.8031909318023109,1.6127891823236618,27.49554339581729,1.249600294014167,203.7792205257883,accel
183.1733575010373,0.03128511187987066,71.83725229634277,0.17547687607244006,1.1378890315420807,3.2369786202594355,2.8546478717936092,3.0039100196691564,114.53558872629469,124.20571385832532,0.9351261595811379,2.186152335832419,99.51022608687634,1.2096965958389123,188.16031876161267,sprint_mid
176.03883592910051,-0.26374892311999215,99.83333078539299,-0.7520720691615387,1.0899243533710163,2.9698377401780705,2.972053849109789,3.0310927929234843,52.234279941530914,102.33748914626231,0.5953313676469402,0.8860485932609408,86.8314544949411,1.3952734953974708,182.7312091769912,sprint_mid
179.45562103774554,-0.47326066968517055,127.0058715415505,-0.1411622441065013,1.0840528658850728,2.937926540084099,2.5618730422465843,2.603032540261476,39.67400020047368,75.22731872695225,0.46106932349739194,0.5314623026758566,74.8720154128254,1.4385861291769915,184.59063759808572,sprint_mid
175.475570075552,-0.13249150318479824,129.47169153978712,-0.0671608758186362,0.9137112062403191,2.0871704210228472,2.8748070763425213,2.9809682280301617,96.55443321726624,53.350622072577536,0.7884515523075906,1.554139625840623,43.16018034548215,0.933111415179359,183.02144491825618,sprint_mid
